>PDB:1EVY_A mol:protein length:366     Glycerol-3-Phosphate Dehydrogenase
>PDB:1EW2_A mol:protein length:513     Phosphatase
>PDB:1EW6_A mol:protein length:137     Dehaloperoxidase
>PDB:1EWI_A mol:protein length:114     Replication Protein A
>PDB:1EWK_A mol:protein length:490     Metabotropic Glutamate Receptor Subtype 1
>PDB:1EWN_A mol:protein length:219     3-Methyl-Adenine DNA Glycosylase
>PDB:1EWS_A mol:protein length:32     Rk-1 Defensin
>PDB:1EX1_A mol:protein length:605     Beta-D-Glucan Exohydrolase Isoenzyme Exo1
>PDB:1EX2_A mol:protein length:189     Protein Maf
>PDB:1EX9_A mol:protein length:285     Lactonizing Lipase
>PDB:1EXB_A mol:protein length:332     Kv Beta2 Protein
>PDB:1EXB_E mol:protein length:103     Potassium Channel Kv1.1
>PDB:1EXE_A mol:protein length:99     Transcription Factor 1
>PDB:1EXG_  mol:protein length:110     Exo-1,4-Beta-D-Glycanase (Cellulase, Xylanas
>PDB:1EXI_A mol:protein length:278     Multidrug-Efflux Transporter Regulator
>PDB:1EXK_A mol:protein length:79     Dnaj Protein
>PDB:1EXT_A mol:protein length:162     Tumor Necrosis Factor Receptor
>PDB:1EY1_A mol:protein length:139     Antitermination Factor Nusb
>PDB:1EY2_A mol:protein-het length:471     Homogentisate 1,2-Dioxygenase
>PDB:1EYE_A mol:protein length:280     Dihydropteroate Synthase I
>PDB:1EYP_A mol:protein length:222     Chalcone-Flavonone Isomerase 1
>PDB:1EYR_A mol:protein-het length:228     Cmp-N-Acetylneuraminic Acid Synthetase
>PDB:1EYS_C mol:protein length:382     Photosynthetic Reaction Center
>PDB:1EYS_M mol:protein length:324     Photosynthetic Reaction Center
>PDB:1EYV_A mol:protein length:156     N-Utilizing Substance Protein B Homolog
>PDB:1EYY_A mol:protein length:510     Aldehyde Dehydrogenase
>PDB:1EYZ_A mol:protein length:392     Phosphoribosylglycinamide Formyltransferase
>PDB:1EZA_  mol:protein length:259     Enzyme I
>PDB:1EZF_A mol:protein length:340     Farnesyl-Diphosphate Farnesyltransferase
>PDB:1EZG_A mol:protein length:84     Thermal Hysteresis Protein Isoform Yl-1
>PDB:1EZJ_A mol:protein length:115     Nucleocapsid Phosphoprotein
>PDB:1EZM_  mol:protein length:301     Elastase (E.C. 3.4.24.26) (Zinc Metalloprote
>PDB:1EZR_A mol:protein length:314     Nucleoside Hydrolase
>PDB:1EZW_A mol:protein length:349     Coenzyme F420-Dependent N5, N10- Methylenete
>PDB:2EZD_A mol:protein length:25     Hmg-I(Y)
>PDB:2EZH_  mol:protein length:75     Transposase
>PDB:2EZK_  mol:protein length:99     Transposase
>PDB:2EZO_A mol:protein length:123     Gp41
>PDB:1EZV_B mol:protein length:352     Ubiquinol-Cytochrome C Reductase Complex Cor
>PDB:1EZV_C mol:protein length:385     Cytochrome B
>PDB:1EZV_H mol:protein length:74     Ubiquinol-Cytochrome C Reductase Complex 17 K
>PDB:1EZV_G mol:protein length:93     Ubiquinol-Cytochrome C Reductase Complex Ubiq
>PDB:1F00_I mol:protein length:282     Intimin
>PDB:1F02_T mol:protein length:66     Translocated Intimin Receptor
>PDB:1F05_A mol:protein length:337     Transaldolase
>PDB:1F07_A mol:protein length:321     Coenzyme F420-Dependent N5, N10- Methylenete
>PDB:1F0C_A mol:protein length:305     Ice Inhibitor
>PDB:1F0K_A mol:protein length:364     Udp-N-Acetylglucosamine-N-Acetylmuramyl- (Pe
>PDB:1F0X_A mol:protein length:571     D-Lactate Dehydrogenase
>PDB:1F0Z_A mol:protein length:66     This Protein
>PDB:1F12_A mol:protein length:310     L-3-Hydroxyacyl-Coa Dehydrogenase
>PDB:1F15_A mol:protein length:218     Coat Protein
>PDB:1F16_A mol:protein length:192     Apoptosis Regulator Bax, Membrane Isoform Al
>PDB:1F1E_A mol:protein-het length:154     Histone Fold Protein
>PDB:1F1J_A mol:protein length:305     Caspase-7 Protease
>PDB:1F1S_A mol:protein length:814     Hyaluronate Lyase
>PDB:1F2D_A mol:protein length:341     1-Aminocyclopropane-1-Carboxylate Deaminase
>PDB:1F2G_  mol:protein length:58     Ferredoxin II
>PDB:1F2N_A mol:protein length:238     Capsid Protein
>PDB:1F2V_A mol:protein length:219     Precorrin-8X Methylmutase
>PDB:1F32_A mol:protein length:149     Major Pepsin Inhibitor Pi-3
>PDB:1F37_A mol:protein length:110     Ferredoxin [2Fe-2S]
>PDB:1F3K_A mol:protein length:26     Omega-Conotoxin Txvii
>PDB:1F3M_A mol:protein length:80     Serine/Threonine-Protein Kinase Pak-Alpha
>PDB:1F3M_C mol:protein length:297     Serine/Threonine-Protein Kinase Pak-Alpha
>PDB:1F3O_A mol:protein-het length:235     Hypothetical Abc Transporter ATP-Binding
>PDB:1F3T_A mol:protein length:425     Ornithine Decarboxylase
>PDB:1F3U_A mol:protein length:118     Transcription Initiation Factor Iif, Beta Su
>PDB:1F3U_B mol:protein length:171     Transcription Initiation Factor Iif, Alpha S
>PDB:1F3V_A mol:protein length:179     Tumor Necrosis Factor Receptor Type 1 Associ
>PDB:2F3G_A mol:protein length:168     Glucose-Specific Phosphocarrier
>PDB:1F3Y_A mol:protein length:165     Diadenosine 5',5'''-P1, P4-Tetraphosphate Hy
