>PDB:1W2F_A mol:protein-het length:276     Inositol-Trisphosphate 3-Kinase A
>PDB:1W2Y_A mol:protein length:229     Deoxyuridine 5'-Triphosphate Nucleotide Hydr
>PDB:1W28_A mol:protein length:331     Deacetoxycephalosporin C Synthase
>PDB:1WMX_A mol:protein length:205     Cog3291: Fog: Pkd Repeat
>PDB:1WMY_A mol:protein length:140     Lectin Cel-I, N-Acetyl-D-Galactosamine-Speci
>PDB:1WMD_A mol:protein length:434     Protease
>PDB:1W3D_A mol:protein length:55     Dihydrolipoyllysine-Residue Acetyltransferase
>PDB:1W37_A mol:protein length:294     2-Keto-3-Deoxy Gluconate Aldolase
>PDB:1W3B_A mol:protein length:388     Udp-N-Acetylglucosamine--Peptide N-Acetylglu
>PDB:1W30_A mol:protein length:201     Pyrr Bifunctional Protein
>PDB:1U4C_A mol:protein-het length:349     Cell Cycle Arrest Protein Bub3
>PDB:1U46_A mol:protein length:291     Activated Cdc42 Kinase 1
>PDB:1U60_A mol:protein length:310     Probable Glutaminase Ybas
>PDB:1U61_A mol:protein-het length:138     Hypothetical Protein
>PDB:1U69_A mol:protein-het length:163     Hypothetical Protein
>PDB:1U6D_X mol:protein length:308     Kelch-Like Ech-Associated Protein 1
>PDB:1U7I_A mol:protein-het length:136     Hypothetical Protein
>PDB:1U78_A mol:protein length:141     Transposable Element Tc3 Transposase
>PDB:1U79_A mol:protein length:129     Fkbp-Type Peptidyl-Prolyl Cis-Trans Isomeras
>PDB:1U7K_A mol:protein-het length:131     Gag Polyprotein
>PDB:1W53_A mol:protein length:84     Phosphoserine Phosphatase Rsbu
>PDB:1W50_A mol:protein length:411     Beta-Secretase 1
>PDB:1W55_A mol:protein length:371     Ispd/Ispf Bifunctional Enzyme
>PDB:1W5S_A mol:protein length:412     Orc2
>PDB:1U3C_A mol:protein length:509     Cryptochrome 1 Apoprotein
>PDB:1U3E_M mol:protein length:174     Hnh Homing Endonuclease
>PDB:1U34_A mol:protein length:119     Corticotropin Releasing Factor Receptor 2
>PDB:1U5T_A mol:protein length:233     Appears To Be Functionally Related To Snf7
>PDB:1U5T_C mol:protein length:202     Hypothetical 23.6 Kda Protein In Yuh1-Ura8 I
>PDB:1U5M_A mol:protein length:73     Alpha 1 Type II Collagen Isoform 1
>PDB:1U5H_A mol:protein length:273     Cite
>PDB:1U5Q_A mol:protein-het length:348     Serine/Threonine Protein Kinase Tao2
>PDB:1U5X_A mol:protein length:140     Tumor Necrosis Factor Ligand Superfamily Mem
>PDB:1U8S_A mol:protein length:192     Glycine Cleavage System Transcriptional Repr
>PDB:1U8X_X mol:protein-het length:472     Maltose-6'-Phosphate Glucosidase
>PDB:1U83_A mol:protein-het length:276     Phosphosulfolactate Synthase
>PDB:1U84_A mol:protein length:90     Hypothetical Protein
>PDB:1WNC_A mol:protein length:112     E2 Glycoprotein
>PDB:1WN4_A mol:protein length:28     Vontr Protein
>PDB:1WN8_A mol:protein length:22     Kalata B3/B6
>PDB:1WNB_A mol:protein length:495     Putative Betaine Aldehyde Dehydrogenase
>PDB:1X6O_A mol:protein length:174     Eukaryotic Initiation Factor 5A
>PDB:1X7F_A mol:protein length:385     Outer Surface Protein
>PDB:1X7L_A mol:protein length:149     Hypothetical Protein Dr1885
>PDB:1X7V_A mol:protein-het length:99     Pa3566 Protein
>PDB:1X72_A mol:protein-het length:334     Putative Peptidyl-Arginine Deiminase
>PDB:1X79_B mol:protein length:112     Rab Gtpase Binding Effector Protein 1
>PDB:1W63_A mol:protein length:618     Adapter-Related Protein Complex 1 Gamma 1 Su
>PDB:1W63_Q mol:protein length:158     Adapter-Related Protein Complex 1 Sigma 1A S
>PDB:1X9G_A mol:protein length:200     Putative Mar1
>PDB:1W4X_A mol:protein length:542     Phenylacetone Monooxygenase
>PDB:1W7L_A mol:protein-het length:422     Kynurenine--Oxoglutarate Transaminase I
>PDB:1W7P_D mol:protein length:566     Vps36P, Ylr417W
>PDB:1X8M_A mol:protein length:288     4-Deoxy-L-Threo-5-Hexosulose-Uronate Ketol-
>PDB:1XFJ_A mol:protein-het length:261     Conserved Hypothetical Protein
>PDB:1XFI_A mol:protein length:367     Unknown Protein
>PDB:1XFS_A mol:protein-het length:178     Conserved Hypothetical Protein
>PDB:1XFO_A mol:protein length:357     Frv Operon Protein Frvx
>PDB:1XHL_A mol:protein length:297     Short-Chain Dehydrogenase/Reductase Family M
>PDB:1XHK_A mol:protein-het length:187     Putative Protease La Homolog
>PDB:1XM5_A mol:protein length:155     Hypothetical Upf0054 Protein Ybey
>PDB:1XM8_A mol:protein length:254     Glyoxalase II
>PDB:1XMB_A mol:protein length:418     Iaa-Amino Acid Hydrolase Homolog 2
>PDB:1OB8_A mol:protein length:135     Holliday-Junction Resolvase
>PDB:1R5E_A mol:protein length:115     Avirulence Protein
>PDB:1R6V_A mol:protein length:671     Subtilisin-Like Serine Protease
>PDB:1SVL_A mol:protein length:377     Large T Antigen
>PDB:1U4Q_A mol:protein length:322     Spectrin Alpha Chain, Brain
>PDB:1U7P_A mol:protein length:164     Magnesium-Dependent Phosphatase-1
>PDB:1ULY_A mol:protein-het length:192     Hypothetical Protein pH1932
>PDB:1V8I_A mol:protein length:170     ADP-Ribose Pyrophosphatase
>PDB:1WMT_A mol:protein length:41     Istx
>PDB:1WPH_A mol:protein-het length:201     Hypothetical Upf0207 Protein Yfbr
>PDB:1XC2_A mol:protein-het length:263     Pyrroline-5-Carboxylate Reductase
>PDB:1XDI_A mol:protein length:499     Rv3303C-Lpda
>PDB:1XJD_A mol:protein-het length:345     Protein Kinase C, Theta Type
>PDB:1XK8_A mol:protein length:147     Divalent Cation Tolerant Protein Cuta
>PDB:1XKI_A mol:protein length:162     Von Ebner'S Gland Protein
>PDB:1XL7_A mol:protein-het length:612     Peroxisomal Carnitine O-Octanoyltransfer
>PDB:1XM3_A mol:protein-het length:264     Thiazole Biosynthesis Protein Thig
>PDB:1XO3_A mol:protein length:101     Riken Cdna 2900073H19
>PDB:1XO8_A mol:protein length:151     At1G01470
>PDB:1XO9_A mol:protein length:150     Hypothetical Protein At3G03773
>PDB:1XPJ_A mol:protein length:126     Hypothetical Protein
>PDB:1XQ6_A mol:protein length:253     Unknown Protein
>PDB:1XQB_A mol:protein-het length:247     Hypothetical Upf0066 Protein Hi0510
>PDB:1UPV_A mol:protein length:257     Oxysterols Receptor Lxr-Beta
>PDB:1UR0_A mol:protein length:399     Galactanase
>PDB:1V1Q_A mol:protein length:134     Primosomal Replication Protein N
>PDB:1VYI_A mol:protein length:112     RNA Polymerase Alpha Subunit
>PDB:1W3O_A mol:protein length:216     Nima-Related Protein
>PDB:1W74_A mol:protein length:191     Peptidyl-Prolyl Cis-Trans Isomerase A
>PDB:1R5S_A mol:protein length:132     Gap Junction Alpha-1 Protein
>PDB:1R7M_A mol:protein length:235     Intron-Encoded Endonuclease I-Scei
>PDB:1SBZ_A mol:protein-het length:197     Probable Aromatic Acid Decarboxylase
>PDB:1SR2_A mol:protein length:116     Putative Sensor-Like Histidine Kinase Yojn
>PDB:1U5K_A mol:protein length:244     Hypothetical Protein
>PDB:1U9J_A mol:protein length:358     Hypothetical Protein Yfbg
>PDB:1V5V_A mol:protein length:401     Aminomethyltransferase
>PDB:1V8B_A mol:protein length:479     Adenosylhomocysteinase
>PDB:1VG5_A mol:protein length:73     Rhomboid Family Protein
>PDB:1VP2_A mol:protein length:208     Putative Xanthosine Triphosphate Pyrophospha
>PDB:1VP4_A mol:protein-het length:425     Aminotransferase, Putative
>PDB:1VP5_A mol:protein length:298     2,5-Diketo-D-Gluconic Acid Reductase
>PDB:1VP6_A mol:protein length:138     Hypothetical Protein, Similar To Potassium C
>PDB:1VP7_A mol:protein-het length:100     Exodeoxyribonuclease Vii Small Subunit
>PDB:1VPD_A mol:protein-het length:299     Tartronate Semialdehyde Reductase
>PDB:1WR8_A mol:protein length:231     Phosphoglycolate Phosphatase
>PDB:1X92_A mol:protein length:199     Phosphoheptose Isomerase
>PDB:1X9Z_A mol:protein-het length:188     DNA Mismatch Repair Protein Mutl
>PDB:1XDZ_A mol:protein length:240     Methyltransferase Gidb
>PDB:1XEB_A mol:protein-het length:150     Hypothetical Protein Pa0115
>PDB:1XFD_A mol:protein length:723     Dipeptidyl Aminopeptidase-Like Protein 6
>PDB:1XFH_A mol:protein length:422     Proton Glutamate Symport Protein
>PDB:1XFK_A mol:protein length:336     Formimidoylglutamase
>PDB:1XHB_A mol:protein length:472     Polypeptide N-Acetylgalactosaminyltransferas
>PDB:1XKT_A mol:protein length:289     Fatty Acid Synthase
>PDB:1XQE_A mol:protein length:418     Probable Ammonium Transporter
>PDB:1XQG_A mol:protein length:389     Maspin
>PDB:1XR5_A mol:protein length:466     Genome Polyprotein
>PDB:1XRH_A mol:protein-het length:351     Ureidoglycolate Dehydrogenase
